tweet_id,Breed,Confidence,timestamp,source,rating_numerator,rating_denominator,name,dog_stage,retweet_count,favorite_count
666020888022790149,Welsh_springer_spaniel,0.465074,2015-11-15 22:32:08+00:00,Twitter for iPhone,8.0,10.0,None,,532,2535
666029285002620928,redbone,0.506826,,,,,,,48,132
666033412701032449,German_shepherd,0.596461,,,,,,,47,128
666044226329800704,Rhodesian_ridgeback,0.408143,,,,,,,147,311
666049248165822465,miniature_pinscher,0.560311,2015-11-16 00:24:50+00:00,Twitter for iPhone,5.0,10.0,None,,41,111
666050758794694657,Bernese_mountain_dog,0.651137,,,,,,,60,136
666055525042405380,chow,0.692517,,,,,,,261,448
666057090499244032,golden_retriever,0.00795896,,,,,,,146,304
666058600524156928,miniature_poodle,0.201493,,,,,,,61,115
666063827256086533,golden_retriever,0.77593,,,,,,,232,496
666071193221509120,Gordon_setter,0.503672,2015-11-16 01:52:02+00:00,Twitter for iPhone,9.0,10.0,None,,67,154
666073100786774016,Walker_hound,0.260857,2015-11-16 01:59:36+00:00,Twitter for iPhone,10.0,10.0,None,,174,335
666082916733198337,pug,0.489814,2015-11-16 02:38:37+00:00,Twitter for iPhone,6.0,10.0,None,,47,121
666094000022159362,bloodhound,0.195217,2015-11-16 03:22:39+00:00,Twitter for iPhone,9.0,10.0,None,,79,169
666099513787052032,Lhasa,0.58233,2015-11-16 03:44:34+00:00,Twitter for iPhone,8.0,10.0,None,,73,164
666102155909144576,English_setter,0.298617,2015-11-16 03:55:04+00:00,Twitter for iPhone,11.0,10.0,None,,16,81
666273097616637952,Italian_greyhound,0.176053,2015-11-16 15:14:19+00:00,Twitter for iPhone,11.0,10.0,None,,82,184
666287406224695296,Maltese_dog,0.8575309999999999,,,,,,,71,152
666337882303524864,Newfoundland,0.278407,,,,,,,96,204
666345417576210432,golden_retriever,0.8587440000000001,2015-11-16 20:01:42+00:00,Twitter for iPhone,10.0,10.0,None,,146,307
666353288456101888,malamute,0.3368739999999999,2015-11-16 20:32:58+00:00,Twitter for iPhone,8.0,10.0,None,,77,229
666373753744588802,soft-coated_wheaten_terrier,0.326467,2015-11-16 21:54:18+00:00,Twitter for iPhone,11.0,10.0,None,,100,194
666396247373291520,Chihuahua,0.978108,2015-11-16 23:23:41+00:00,Twitter for iPhone,9.0,10.0,None,,92,172
666407126856765440,black-and-tan_coonhound,0.529139,,,,,,,44,113
666418789513326592,toy_terrier,0.14968,2015-11-17 00:53:15+00:00,Twitter for iPhone,10.0,10.0,Walter,,48,129
666421158376562688,Blenheim_spaniel,0.906777,2015-11-17 01:02:40+00:00,Twitter for iPhone,12.0,10.0,None,,118,327
666428276349472768,Pembroke,0.371361,2015-11-17 01:30:57+00:00,Twitter for iPhone,7.0,10.0,None,,90,171
666430724426358785,Irish_terrier,0.104109,2015-11-17 01:40:41+00:00,Twitter for iPhone,6.0,10.0,None,,204,330
666435652385423360,Chesapeake_Bay_retriever,0.18413,2015-11-17 02:00:15+00:00,Twitter for iPhone,10.0,10.0,None,,54,170
666437273139982337,Chihuahua,0.6718529999999999,2015-11-17 02:06:42+00:00,Twitter for iPhone,7.0,10.0,None,,52,131
666447344410484738,curly-coated_retriever,0.322084,2015-11-17 02:46:43+00:00,Twitter for iPhone,9.0,10.0,Scout,,23,107
666454714377183233,dalmatian,0.278954,2015-11-17 03:16:00+00:00,Twitter for iPhone,10.0,10.0,Kreggory,,223,545
666644823164719104,Ibizan_hound,0.0443334,2015-11-17 15:51:26+00:00,Twitter for iPhone,9.0,10.0,Jimothy,,88,238
666649482315059201,Border_collie,0.4478029999999999,2015-11-17 16:09:56+00:00,Twitter for iPhone,4.0,10.0,None,,608,923
666691418707132416,German_shepherd,0.975401,2015-11-17 18:56:35+00:00,Twitter for iPhone,8.0,10.0,Christoper,,51,196
666701168228331520,Labrador_retriever,0.887707,,,,,,,234,449
666739327293083650,miniature_poodle,0.546933,2015-11-17 22:06:57+00:00,Twitter for iPhone,10.0,10.0,Lugan,,71,244
666776908487630848,miniature_pinscher,0.167175,2015-11-18 00:36:17+00:00,Twitter for iPhone,5.0,10.0,Josep,,186,368
666781792255496192,Italian_greyhound,0.618316,,,,,,,211,404
666804364988780544,English_setter,0.328792,2015-11-18 02:25:23+00:00,Twitter for iPhone,8.0,10.0,Jockson,,95,250
666817836334096384,miniature_schnauzer,0.496953,2015-11-18 03:18:55+00:00,Twitter for iPhone,9.0,10.0,Jeph,,267,540
666826780179869698,Maltese_dog,0.359383,2015-11-18 03:54:28+00:00,Twitter for iPhone,12.0,10.0,None,,105,266
666835007768551424,Airedale,0.448459,2015-11-18 04:27:09+00:00,Twitter for iPhone,10.0,10.0,None,,83,222
666996132027977728,Rottweiler,0.0624899,2015-11-18 15:07:24+00:00,Twitter for iPhone,10.0,10.0,Carll,,102,258
667044094246576128,golden_retriever,0.765266,2015-11-18 18:17:59+00:00,Twitter for iPhone,12.0,10.0,None,,54,198
667062181243039745,Chesapeake_Bay_retriever,0.825678,2015-11-18 19:29:52+00:00,Twitter for iPhone,10.0,10.0,Keet,,57,227
667073648344346624,Chihuahua,0.4836819999999999,2015-11-18 20:15:26+00:00,Twitter for iPhone,10.0,10.0,Dave,,134,425
667090893657276420,Chihuahua,0.959514,2015-11-18 21:23:57+00:00,Twitter for iPhone,7.0,10.0,Clybe,,132,349
